ngens,dimension,crossover_type,tsize,pmut,mean,std
1000,6,uniform_crossover,4,0.1,4.470209941874773,2.7855798836938446
1000,6,uniform_crossover,4,0.4,6.171594978452338,3.8999298113153382
1000,6,uniform_crossover,4,0.7,4.180065565599589,1.7122346872943035
1000,6,uniform_crossover,4,1.0,4.488951856498394,1.1878916522329386
1000,6,uniform_crossover,6,0.1,7.302439879431081,4.089624803711565
1000,6,uniform_crossover,6,0.4,4.841442744854859,2.7107608889619876
1000,6,uniform_crossover,6,0.7,7.562056718907224,6.677268937137666
1000,6,uniform_crossover,6,1.0,4.718301134963134,2.7937993794039673
1000,6,uniform_crossover,8,0.1,6.712697705329282,2.7998494819240434
1000,6,uniform_crossover,8,0.4,7.452300393941409,6.101474540992813
1000,6,uniform_crossover,8,0.7,5.7760811075500085,1.4600059552002538
1000,6,uniform_crossover,8,1.0,6.647658491935838,5.840286580647438
1000,6,order1_crossover,2,0.1,6.403748385988505,2.6154217633132557
1000,6,order1_crossover,2,0.4,6.782886781967912,1.7294856222026511
1000,6,order1_crossover,2,0.7,8.227809096049057,1.6804422698997314
1000,6,order1_crossover,2,1.0,8.169264468706768,2.9621687714496248
1000,6,order1_crossover,4,0.1,8.25459094011023,3.750839216699322
1000,6,order1_crossover,4,0.4,7.780314025850816,2.7022109045104683
1000,6,order1_crossover,4,0.7,5.005491126983839,1.929356604942338
1000,6,order1_crossover,4,1.0,9.09571941856574,2.8834058851452435
1000,6,order1_crossover,6,0.1,10.11425082356833,6.051361410946327
1000,6,order1_crossover,6,0.4,6.611921029926826,3.715156620890549
1000,6,order1_crossover,6,0.7,6.192249377476417,2.050973526903701
1000,6,order1_crossover,6,1.0,8.467841608526511,2.5755583039647445
1000,6,order1_crossover,8,0.1,10.157419231746777,6.033856071917465
1000,6,order1_crossover,8,0.4,7.500303566188241,2.995288193305673
1000,6,order1_crossover,8,0.7,6.212365161352643,4.567884498702737
1000,6,order1_crossover,8,1.0,9.518569919363951,4.369525065718705
